xcoord;ycoord
-47,9611;9,9146
-47,9312;10,5236
-47,9302;10,5236
-47,9302;10,5236
-47,9282;10,7266
-47,9262;10,9296
-47,9252;11,1326
-47,9222;11,7416
-47,9212;11,9446
-47,9192;12,1476
-47,9172;12,5536
-47,9152;12,7566
-47,9132;12,9596
-47,9122;12,9596
-47,9112;12,9596
-47,9102;12,9596
-47,9082;12,9596
-47,9072;12,9596
-47,9062;12,9596
-47,9052;13,1627
-47,9042;13,1627
-47,9032;13,1627
-47,9022;13,3657
-47,9012;13,3657
-47,8982;13,9747
-47,8962;13,9747
-47,8942;14,1777
-47,8932;14,3807
-47,8912;14,5837
-47,8902;14,5837
-47,8892;14,5837
-47,8882;14,7867
-47,8872;14,9897
-47,8853;14,9897
-47,8843;14,9897
-47,8823;14,9897
-47,8813;15,1927
-47,8803;15,1927
-47,8783;15,1927
-47,8773;15,1927
-47,8773;15,1927
-47,8763;15,1927
-47,8743;15,1927
-47,8733;14,9897
-47,8723;14,7867
-47,8713;14,7867
-47,8703;14,7867
-47,8693;14,7867
-47,8683;14,7867
-47,8673;14,7867
-47,8663;14,7867
-47,8643;14,5837
-47,8623;14,5837
-47,8603;14,5837
-47,8583;14,5837
-47,8563;14,5837
-47,8553;14,5837
-47,8533;14,5837
-47,8523;14,5837
-47,8503;14,5837
-47,8493;14,5837
-47,8483;14,5837
-47,8463;14,5837
-47,8453;14,7867
-47,8423;15,1927
-47,8404;15,1927
-47,8404;15,3957
-47,8384;15,5987
-47,8374;15,8017
-47,8354;16,0047
-47,8354;16,0047
-47,8344;16,2077
-47,8344;16,4107
-47,8344;16,6137
-47,8344;16,8167
-47,8334;16,8167
-47,8324;17,2227
-47,8324;17,4257
-47,8324;17,6287
-47,8314;18,2377
-47,8304;18,2377
-47,8304;18,4407
-47,8304;18,4407
-47,8304;18,8467
-47,8304;19,2527
-47,8304;19,4557
-47,8304;19,8617
-47,8314;20,0647
-47,8324;20,2677
-47,8324;20,2677
-47,8334;20,2677
-47,8344;20,4707
-47,8364;20,4707
-47,8374;20,4707
-47,8394;20,4707
-47,8413;20,4707
-47,8433;20,4707
-47,8453;20,4707
-47,8463;20,4707
-47,8473;20,4707
-47,8493;20,2677
-47,8503;20,2677
-47,8523;20,0647
-47,8533;20,0647
-47,8543;19,8617
-47,8563;19,4557
-47,8583;19,2527
-47,8593;19,0497
-47,8613;18,6437
-47,8623;18,4407
-47,8653;18,2377
-47,8673;18,2377
-47,8703;18,6437
-47,8713;18,8467
-47,8743;19,4557
-47,8753;19,6587
-47,8753;19,8617
-47,8763;19,8617
-47,8773;20,0647
-47,8783;20,0647
-47,8793;20,0647
-47,8823;19,8617
-47,8843;19,6587
-47,8862;19,4557
-47,8872;19,4557
-47,8892;19,0497
-47,8912;18,8467
-47,8932;18,8467
-47,8942;18,6437
-47,8972;18,4407
-47,8982;18,2377
-47,8992;18,2377
-47,9022;18,0347
-47,9022;18,0347
-47,9042;17,8317
-47,9052;17,8317
-47,9062;17,8317
-47,9082;17,6287
-47,9102;17,6287
-47,9112;17,6287
-47,9132;17,6287
-47,9142;17,6287
-47,9152;17,6287
-47,9162;17,6287
-47,9172;17,6287
-47,9192;17,6287
-47,9202;17,6287
-47,9202;17,6287
-47,9212;17,8317
-47,9222;17,8317
-47,9222;18,0347
-47,9222;18,0347
-47,9232;18,2377
-47,9232;18,4407
-47,9232;18,6437
-47,9242;18,6437
-47,9242;18,8467
-47,9252;18,8467
-47,9262;18,8467
-47,9272;19,0497
-47,9272;19,0497
-47,9282;19,0497
-47,9282;19,0497
-47,9282;19,0497
-47,9282;19,0497
-47,9292;19,0497
-47,9302;19,0497
-47,9302;19,0497
-47,9312;19,0497
-47,9312;19,0497
-47,9312;19,0497
-47,9312;19,0497
-47,9321;19,0497
-47,9321;19,0497
-47,9321;19,0497
-47,9321;19,0497
