xcoord;ycoord
-48,4316;3,3454
-48,3981;3,3454
-48,3931;3,3454
-48,3914;3,3454
-48,3914;3,3454
-48,388;3,3454
-48,3864;3,3454
-48,3847;3,3454
-48,3797;3,3454
-48,3746;3,3454
-48,3713;3,3454
-48,3679;3,3454
-48,3662;3,5192
-48,3629;3,5192
-48,3612;3,6929
-48,3579;3,6929
-48,3562;3,8667
-48,3545;4,0404
-48,3512;4,2142
-48,3512;4,2142
-48,3478;4,3879
-48,3444;4,3879
-48,3444;4,5617
-48,3411;4,7355
-48,3394;4,7355
-48,3361;4,7355
-48,3327;4,7355
-48,331;4,7355
-48,3277;4,7355
-48,3243;4,7355
-48,3227;4,7355
-48,321;4,7355
-48,3193;4,7355
-48,3176;4,7355
-48,3126;4,7355
-48,3109;4,7355
-48,3059;4,7355
-48,3042;4,7355
-48,3025;4,7355
-48,2992;4,7355
-48,2975;4,7355
-48,2942;4,7355
-48,2908;4,7355
-48,2874;4,7355
-48,2824;4,7355
-48,2791;4,5617
-48,2757;4,5617
-48,2724;4,5617
-48,2673;4,3879
-48,2656;4,2142
-48,2623;4,2142
-48,2606;4,2142
-48,2573;4,2142
-48,2539;4,2142
-48,2506;4,2142
-48,2506;4,2142
-48,2489;4,2142
-48,2472;4,2142
-48,2455;4,2142
-48,2439;4,2142
-48,2405;4,2142
-48,2371;4,2142
-48,2338;4,3879
-48,2338;4,3879
-48,2321;4,3879
-48,2288;4,3879
-48,2271;4,3879
-48,2271;4,5617
-48,2254;4,5617
-48,2221;4,5617
-48,2204;4,7355
-48,2204;4,7355
-48,2187;4,7355
-48,217;5,083
-48,2154;5,083
-48,2154;5,083
-48,212;5,083
-48,212;5,083
-48,2086;5,2567
-48,2053;5,4305
-48,2036;5,4305
-48,2019;5,6042
-48,2003;5,778
-48,2003;5,778
-48,1986;5,778
-48,1986;5,9518
-48,1969;5,9518
-48,1952;6,1255
-48,1936;6,1255
-48,1919;6,2993
-48,1885;6,473
-48,1852;6,6468
-48,1835;6,6468
-48,1818;6,8206
-48,1818;6,8206
-48,1818;6,8206
-48,1785;6,9943
-48,1785;6,9943
-48,1768;6,9943
-48,1768;6,8206
-48,1751;6,8206
-48,1734;6,6468
-48,1718;6,473
-48,1701;6,2993
-48,1701;6,1255
-48,1684;5,778
-48,1667;5,6042
-48,1651;5,4305
-48,1651;5,4305
-48,1634;5,4305
-48,1617;5,4305
-48,1617;5,4305
-48,16;5,4305
-48,1583;5,4305
-48,1567;5,4305
-48,1533;5,6042
-48,1516;5,778
-48,15;5,9518
-48,1483;5,9518
-48,1466;5,9518
-48,1466;5,9518
-48,1449;6,1255
-48,1449;6,1255
-48,1433;6,1255
-48,1399;6,1255
-48,1382;6,1255
-48,1382;6,1255
-48,1349;5,9518
-48,1349;5,9518
-48,1332;5,9518
-48,1332;5,9518
-48,1315;5,9518
-48,1282;5,778
-48,1265;5,778
-48,1248;5,778
-48,1231;5,778
-48,1215;5,778
-48,1181;5,778
-48,1164;5,778
-48,1164;5,778
-48,1131;5,778
-48,1114;5,778
-48,1097;5,778
-48,108;5,778
-48,1064;5,778
-48,1064;5,778
-48,1047;5,778
-48,1047;5,778
-48,103;5,778
-48,1013;5,778
-48,0997;5,778
-48,0997;5,778
-48,0963;5,778
-48,0963;5,778
-48,093;5,778
-48,0913;5,778
-48,0896;5,778
-48,0879;5,778
-48,0846;5,9518
-48,0846;5,9518
-48,0812;6,1255
-48,0795;6,473
-48,0779;6,473
-48,0762;6,473
-48,0745;6,6468
-48,0728;6,8206
-48,0712;6,8206
-48,0712;6,8206
-48,0695;6,9943
-48,0678;7,1681
-48,0678;7,1681
-48,0661;7,3418
-48,0645;7,5156
-48,0645;7,6893
-48,0611;8,2106
-48,0594;8,2106
-48,0578;8,3844
-48,0544;8,5581
-48,0527;8,7319
-48,051;8,9056
-48,0477;8,9056
-48,046;9,0794
-48,0443;9,0794
-48,041;9,0794
-48,0393;9,0794
-48,036;9,0794
-48,0326;9,0794
-48,0309;9,0794
-48,0292;9,0794
-48,0259;9,0794
-48,0242;9,0794
-48,0225;9,0794
-48,0192;9,0794
-48,0175;9,0794
-48,0158;9,0794
-48,0125;9,0794
-48,0108;9,0794
-48,0075;9,0794
-48,0041;9,0794
-48,0024;9,0794
-48,0007;9,0794
-47,9974;9,0794
-47,9957;9,0794
-47,9924;9,0794
-47,9907;9,0794
-47,989;9,0794
-47,984;9,0794
-47,984;9,0794
-47,9823;9,0794
-47,9806;9,0794
-47,9773;9,0794
-47,9739;9,0794
-47,9706;9,0794
-47,9689;9,0794
-47,9672;9,0794
-47,9639;9,0794
-47,9605;9,0794
-47,9588;9,0794
-47,9572;9,0794
-47,9538;9,0794
-47,9521;9,0794
-47,9504;9,0794
-47,9488;9,0794
-47,9454;9,0794
-47,9437;9,0794
-47,9421;9,0794
-47,9404;9,0794
-47,9387;9,0794
-47,9337;9,0794
-47,9303;9,0794
-47,9287;8,9056
-47,927;8,9056
-47,927;8,7319
-47,9253;8,7319
-47,9253;8,5581
-47,9253;8,5581
-47,9253;8,3844
-47,9253;8,2106
-47,9253;8,0369
-47,9236;8,0369
-47,9219;7,8631
-47,9219;7,6893
-47,9219;7,6893
-47,9203;7,6893
-47,9203;7,6893
-47,9203;7,6893
-47,9186;7,6893
-47,9169;7,5156
-47,9169;7,5156
-47,9152;7,5156
-47,9136;7,5156
-47,9136;7,5156
-47,9102;7,5156
-47,9085;7,5156
-47,9069;7,5156
-47,9018;7,6893
-47,9002;7,6893
-47,8985;7,8631
-47,8968;7,8631
-47,8951;7,8631
-47,8951;7,8631
-47,8934;7,6893
-47,8901;7,5156
