date,surfpick ok=1
may18_02_0,1
may18_02_1,1
may18_02_2,1
may18_02_3,1
may18_02_4,1
may18_02_5,1
may18_02_6,1
may18_02_7,1
may18_02_8,1
may18_02_9,1
may18_02_10,1
may18_02_11,1
may18_02_12,1
may18_02_13,1
may18_02_14,1
may18_02_15,1
may18_02_16,1
may18_02_17,1
may18_02_18,1
may18_02_19,1
may18_02_20,1
may18_02_21,1
may18_02_22,1
may18_02_23,1
may18_02_24,1
may18_02_25,1
may18_02_26,1
may18_02_27,1
may18_02_28,1
may18_02_29,1
may18_02_30,1
may24_02_0,0
may24_02_1,1
may24_02_2,1
may24_02_3,1
may24_02_4,0.5
may24_02_5,1
may24_02_6,0.5
may24_02_7,0
may24_02_8,0.5
may24_02_9,0
may24_02_10,0.5
may24_02_11,0
may24_02_12,0.5
may24_02_13,0
may24_02_14,0
may24_02_15,0.5
may24_02_16,0.5
may24_02_17,0
may24_02_18,0
may24_02_19,0
may24_02_20,0
may24_02_21,0.5
may24_02_22,0
may24_02_23,0
may24_02_24,0
may24_02_25,0
may30_02_1,0
may30_02_2,0
may30_02_3,1
may30_02_4,0.5
may30_02_5,0.5
may30_02_6,0.5
may30_02_7,0
may30_02_9,0
may30_02_13,0
may30_02_14,0
may30_02_15,0
may30_02_16,0
may30_02_17,0
may30_02_18,0
may30_02_19,0
may30_02_20,0
may30_02_21,1
may30_02_22,0
may30_02_23,0
may30_02_24,0
may30_02_25,0
may30_02_26,0
may30_02_27,0
may30_02_28,0
may30_02_29,0
may30_02_30,0
may30_02_31,0
may30_02_32,0
may30_02_33,0
may30_02_34,0
may30_02_35,0
may30_02_36,0
may30_02_37,0
may30_02_38,0
may30_02_39,0.5
may30_02_40,0
may30_02_41,0
may30_02_42,0
may30_02_43,0
may30_02_44,0
may30_02_45,0
may30_02_46,0
may30_02_47,0
may30_02_48,0
may30_02_49,0
may30_02_50,0
may30_02_51,0.5
may09_03_0,1
may09_03_1,1
may09_03_2,1
may09_03_3,1
may09_03_4,1
may09_03_5,1
may09_03_6,1
may09_03_7,1
may09_03_8,1
may09_03_9,1
may09_03_10,1
may09_03_11,1
may09_03_12,1
may09_03_13,0.5
may09_03_14,1
may09_03_15,1
may09_03_16,1
may09_03_17,1
may09_03_18,1
may09_03_19,1
may09_03_20,1
may09_03_21,1
may09_03_22,1
may09_03_23,1
may09_03_24,1
may09_03_25,1
may09_03_26,1
may09_03_27,1
may09_03_28,1
may09_03_29,1
may09_03_30,1
may09_03_31,1
may09_03_32,1
may09_03_33,1
may09_03_34,1
may09_03_35,1
may09_03_36,1
may09_03_37,1
may09_03_38,1
may09_03_39,1
may09_03_40,1
may09_03_41,1
may09_03_42,1
may11_03_0,1
may11_03_1,1
may11_03_2,1
may11_03_3,1
may11_03_4,1
may11_03_5,1
may11_03_6,1
may11_03_7,1
may11_03_8,1
may11_03_9,1
may11_03_10,1
may11_03_11,1
may11_03_12,1
may11_03_13,1
may11_03_14,1
may11_03_15,1
may11_03_16,1
may11_03_17,1
may11_03_18,0
may11_03_19,0
may11_03_20,1
may11_03_21,1
may11_03_22,1
may11_03_23,1
may11_03_24,1
may11_03_25,1
may11_03_26,1
may11_03_27,1
may11_03_28,1
may11_03_29,1
may11_03_30,1
may11_03_31,1
may11_03_32,1
may11_03_33,1
may11_03_34,1
may11_03_35,1
may11_03_36,1
may11_03_37,1
may11_03_38,1
may11_03_39,1
may11_03_40,1
may12_03_1,1
may12_03_2,1
may12_03_3,1
may12_03_4,1
may12_03_5,1
may12_03_6,1
may12_03_7,1
may12_03_8,1
may12_03_9,1
may12_03_10,1
may12_03_11,1
may12_03_12,1
may12_03_13,1
may12_03_14,1
may12_03_15,1
may12_03_16,1
may12_03_17,0.5
may12_03_18,1
may12_03_19,1
may12_03_20,1
may12_03_21,1
may12_03_22,1
may12_03_23,1
may12_03_24,1
may12_03_25,1
may12_03_26,1
may12_03_27,1
may12_03_28,1
may12_03_29,1
